epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.972,1.76011,2.59448,1.21527,0.8817,0.11111,0.41482,0.24806,1.50327,3.33833,1.26712,0.000468394,0.000468394,0.000468394
2,100.852,1.74813,1.77097,1.20982,0.433,0.61057,0.51506,0.25095,1.60427,2.7326,1.50733,0.000926022,0.000926022,0.000926022
3,148.629,1.73724,1.60114,1.20651,0.25195,0.64215,0.36525,0.16734,1.81665,3.08764,1.71779,0.00136479,0.00136479,0.00136479
4,196.165,1.71347,1.5391,1.22015,0.47417,0.42361,0.49175,0.27824,1.67509,1.86066,1.47349,0.00134412,0.00134412,0.00134412
5,243.623,1.69427,1.39165,1.19631,0.75851,0.59194,0.58701,0.31484,1.62118,1.76991,1.44597,0.00131582,0.00131582,0.00131582
6,291.214,1.64413,1.2878,1.19295,0.60787,0.49969,0.56055,0.29776,1.72433,1.93956,1.56483,0.00128753,0.00128753,0.00128753
7,338.717,1.63115,1.24108,1.17976,0.83577,0.41591,0.56685,0.32832,1.67753,1.63899,1.47112,0.00125923,0.00125923,0.00125923
8,386.245,1.63528,1.17291,1.16161,0.37146,0.69018,0.57864,0.36154,1.57477,1.77825,1.4014,0.00123094,0.00123094,0.00123094
9,434.109,1.58246,1.13358,1.1352,0.4751,0.67923,0.58686,0.36127,1.53834,1.89044,1.36604,0.00120265,0.00120265,0.00120265
10,481.709,1.58818,1.08362,1.14437,0.46415,0.46716,0.54628,0.34394,1.69749,2.09409,1.51551,0.00117435,0.00117435,0.00117435
11,528.966,1.57917,1.06762,1.1413,0.72088,0.57641,0.65182,0.3935,1.61425,1.38517,1.43969,0.00114606,0.00114606,0.00114606
12,576.64,1.58123,1.05372,1.1512,0.76278,0.571,0.63292,0.39492,1.56552,2.06309,1.4614,0.00111776,0.00111776,0.00111776
13,624.211,1.51081,1.02154,1.1176,0.50526,0.74266,0.66533,0.42006,1.54548,1.46704,1.38561,0.00108947,0.00108947,0.00108947
14,671.647,1.5135,1.01282,1.1168,0.39711,0.82326,0.64797,0.39176,1.64653,1.52005,1.46508,0.00106118,0.00106118,0.00106118
15,720.322,1.49387,0.98769,1.10588,0.80089,0.45532,0.59538,0.36596,1.57101,1.54696,1.42698,0.00103288,0.00103288,0.00103288
16,769.117,1.49263,0.9556,1.10511,0.44981,0.68534,0.71758,0.46031,1.61849,1.25242,1.44407,0.00100459,0.00100459,0.00100459
17,818.266,1.52345,0.97013,1.12276,0.76253,0.50949,0.67266,0.42987,1.6715,1.23365,1.44076,0.000976293,0.000976293,0.000976293
18,866.698,1.48248,0.91813,1.09973,0.84673,0.52355,0.6847,0.42391,1.57758,1.39447,1.43044,0.000947999,0.000947999,0.000947999
19,915.322,1.46274,0.92527,1.09204,0.47353,0.79373,0.65142,0.42888,1.6505,1.65324,1.45715,0.000919704,0.000919704,0.000919704
20,963.539,1.42779,0.89933,1.08006,0.68276,0.69055,0.79146,0.50838,1.48395,1.09764,1.37973,0.00089141,0.00089141,0.00089141
21,1011.71,1.45772,0.88843,1.0908,0.73675,0.61782,0.76796,0.49907,1.65984,1.36452,1.46181,0.000863116,0.000863116,0.000863116
22,1060.08,1.4486,0.88345,1.09797,0.86728,0.61945,0.75698,0.50713,1.55035,1.17484,1.43015,0.000834822,0.000834822,0.000834822
23,1108.28,1.43121,0.9018,1.08672,0.46829,0.90969,0.67347,0.44652,1.60684,1.37187,1.44958,0.000806528,0.000806528,0.000806528
24,1156.24,1.42595,0.88391,1.07446,0.64362,0.72963,0.77729,0.52607,1.47693,1.0286,1.36308,0.000778233,0.000778233,0.000778233
25,1206.66,1.37679,0.83747,1.06322,0.52911,0.76534,0.7085,0.4722,1.59408,1.43987,1.39848,0.000749939,0.000749939,0.000749939
26,1260.62,1.39528,0.82988,1.05734,0.58433,0.82308,0.78716,0.51174,1.56391,1.24818,1.36431,0.000721645,0.000721645,0.000721645
27,1310.49,1.39735,0.83478,1.05955,0.77385,0.66723,0.77654,0.51515,1.59091,1.13037,1.37312,0.000693351,0.000693351,0.000693351
28,1360.79,1.39154,0.81566,1.06756,0.57972,0.89532,0.81785,0.52833,1.58245,1.00206,1.41191,0.000665057,0.000665057,0.000665057
29,1410.63,1.38259,0.82378,1.06296,0.60303,0.89342,0.77146,0.50791,1.53798,0.8975,1.39062,0.000636762,0.000636762,0.000636762
30,1461.31,1.37213,0.78496,1.04934,0.58595,0.85926,0.72541,0.46572,1.54677,1.2009,1.433,0.000608468,0.000608468,0.000608468
31,1510.47,1.37139,0.78759,1.04988,0.58699,0.75726,0.7554,0.51695,1.53707,1.02048,1.40687,0.000580174,0.000580174,0.000580174
32,1558.8,1.35314,0.78483,1.04727,0.58262,0.93577,0.75074,0.4974,1.65237,1.09524,1.45868,0.00055188,0.00055188,0.00055188
33,1607.05,1.34467,0.82038,1.0581,0.61429,0.56524,0.68191,0.48175,1.57528,1.59222,1.41183,0.000523586,0.000523586,0.000523586
34,1655.5,1.33493,0.78077,1.04784,0.62938,0.76125,0.78858,0.52347,1.52121,1.09186,1.3978,0.000495291,0.000495291,0.000495291
35,1705.47,1.33629,0.76998,1.03137,0.61688,0.74786,0.73671,0.47724,1.55266,1.1412,1.4081,0.000466997,0.000466997,0.000466997
36,1755.98,1.31002,0.76343,1.02494,0.6584,0.87167,0.75348,0.51521,1.59144,1.06881,1.44328,0.000438703,0.000438703,0.000438703
37,1805.94,1.31065,0.73034,1.02512,0.63292,0.84501,0.72884,0.47903,1.70026,1.33577,1.43257,0.000410409,0.000410409,0.000410409
38,1854.75,1.2841,0.73695,1.01558,0.67118,0.814,0.74676,0.49841,1.56749,1.18125,1.38171,0.000382115,0.000382115,0.000382115
39,1904.74,1.31565,0.72895,1.03346,0.67992,0.66842,0.73587,0.51607,1.54742,1.21365,1.40951,0.00035382,0.00035382,0.00035382
40,1954.32,1.26816,0.70883,1.01767,0.74047,0.7502,0.79575,0.52637,1.57613,1.14913,1.4139,0.000325526,0.000325526,0.000325526
41,2002.5,1.29524,0.68124,1.01994,0.68636,0.80358,0.79998,0.52134,1.55925,1.02038,1.37066,0.000297232,0.000297232,0.000297232
42,2051.17,1.25373,0.65248,1.01785,0.81448,0.75245,0.85739,0.59879,1.51405,0.87989,1.35122,0.000268938,0.000268938,0.000268938
43,2099.86,1.21039,0.63206,0.99148,0.73469,0.84219,0.82187,0.56091,1.51932,1.00549,1.35424,0.000240644,0.000240644,0.000240644
44,2147.87,1.21514,0.64475,0.99251,0.7296,0.81274,0.80742,0.5506,1.57518,0.97261,1.37134,0.000212349,0.000212349,0.000212349
45,2195.89,1.21056,0.63605,0.99895,0.74777,0.7162,0.7985,0.54928,1.587,1.10998,1.40232,0.000184055,0.000184055,0.000184055
46,2244.18,1.1922,0.62949,0.98934,0.80395,0.78658,0.84169,0.58124,1.58378,1.03522,1.39674,0.000155761,0.000155761,0.000155761
47,2292.41,1.1842,0.6178,0.98823,0.83003,0.80288,0.83863,0.57447,1.5787,1.03234,1.40148,0.000127467,0.000127467,0.000127467
48,2340.67,1.19015,0.6043,0.98856,0.86525,0.76378,0.83897,0.57164,1.58835,1.00805,1.40839,9.91726e-05,9.91726e-05,9.91726e-05
49,2388.94,1.18561,0.60813,0.98102,0.84753,0.77189,0.83474,0.57508,1.5967,1.02672,1.41813,7.08784e-05,7.08784e-05,7.08784e-05
50,2437.25,1.17801,0.59381,0.98033,0.8416,0.754,0.83711,0.58257,1.59,1.05761,1.40826,4.25842e-05,4.25842e-05,4.25842e-05
