epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.8109,1.76011,2.59448,1.21527,0.8817,0.11111,0.41482,0.24806,1.50327,3.33833,1.26712,0.000468394,0.000468394,0.000468394
2,105.172,1.75201,1.77927,1.20663,0.35728,0.65803,0.4718,0.25692,1.57274,2.60467,1.43787,0.000932257,0.000932257,0.000932257
3,156.893,1.72492,1.6106,1.21077,0.33195,0.67009,0.36917,0.19271,1.82392,4.03624,1.75198,0.00138355,0.00138355,0.00138355
4,208.453,1.70096,1.49073,1.23278,0.36296,0.37855,0.35148,0.18072,1.67043,2.07721,1.56603,0.00137241,0.00137241,0.00137241
5,259.73,1.6998,1.37829,1.19811,0.79061,0.44341,0.54516,0.3002,1.74334,1.68352,1.57303,0.00135355,0.00135355,0.00135355
6,310.761,1.65148,1.28973,1.18532,0.4684,0.57726,0.54367,0.31849,1.69418,1.86859,1.58667,0.00133469,0.00133469,0.00133469
7,361.98,1.62928,1.20518,1.18491,0.82998,0.4578,0.56336,0.29848,1.62639,1.66058,1.47305,0.00131582,0.00131582,0.00131582
8,413.105,1.61627,1.16657,1.16029,0.841,0.50919,0.61989,0.37345,1.64009,1.48239,1.48098,0.00129696,0.00129696,0.00129696
9,465.004,1.60479,1.13554,1.15178,0.53168,0.7604,0.64603,0.4026,1.49538,1.38265,1.37578,0.0012781,0.0012781,0.0012781
10,516.171,1.58695,1.10119,1.15012,0.4154,0.7146,0.57764,0.37442,1.62501,1.83312,1.44936,0.00125923,0.00125923,0.00125923
11,568.074,1.58505,1.0996,1.14886,0.82519,0.50721,0.62874,0.38972,1.63028,1.46741,1.39566,0.00124037,0.00124037,0.00124037
12,619.809,1.57721,1.07195,1.15338,0.54805,0.80675,0.6744,0.37886,1.63097,1.46585,1.46835,0.00122151,0.00122151,0.00122151
13,670.766,1.5221,1.01823,1.11601,0.71031,0.52798,0.60162,0.35489,1.69417,1.50473,1.48601,0.00120265,0.00120265,0.00120265
14,721.629,1.52637,1.01196,1.13026,0.74918,0.60598,0.69065,0.38292,1.7569,1.30953,1.52563,0.00118378,0.00118378,0.00118378
15,772.608,1.51881,0.98256,1.11341,0.80179,0.56255,0.59958,0.35201,1.56326,1.40928,1.43149,0.00116492,0.00116492,0.00116492
16,823.637,1.50095,0.95767,1.1105,0.88109,0.50591,0.6381,0.4046,1.49751,1.21262,1.38946,0.00114606,0.00114606,0.00114606
17,874.495,1.51512,0.97913,1.11875,0.73748,0.52995,0.60129,0.38162,1.58469,2.10173,1.44972,0.0011272,0.0011272,0.0011272
18,925.388,1.49111,0.93284,1.10449,0.78561,0.6231,0.70018,0.45329,1.47761,1.03623,1.40556,0.00110833,0.00110833,0.00110833
19,976.637,1.47304,0.93536,1.10071,0.43163,0.78863,0.63562,0.40545,1.60727,1.35729,1.48404,0.00108947,0.00108947,0.00108947
20,1031.36,1.44274,0.90171,1.09023,0.47693,0.64631,0.70849,0.47318,1.56286,1.18187,1.43466,0.00107061,0.00107061,0.00107061
21,1083.18,1.47238,0.89249,1.09988,0.727,0.55781,0.68274,0.44731,1.56501,1.3888,1.44543,0.00105174,0.00105174,0.00105174
22,1132.96,1.48029,0.90807,1.11045,0.73747,0.57848,0.73855,0.48316,1.49604,0.99124,1.41899,0.00103288,0.00103288,0.00103288
23,1181.47,1.45662,0.9134,1.10414,0.36255,0.65954,0.57197,0.39317,1.61166,2.23858,1.46516,0.00101402,0.00101402,0.00101402
24,1233.13,1.45729,0.90086,1.08802,0.82282,0.58131,0.73881,0.49308,1.43227,1.10097,1.36551,0.000995156,0.000995156,0.000995156
25,1284.74,1.40648,0.84573,1.08181,0.40743,0.7617,0.60799,0.39501,1.70836,1.71846,1.46953,0.000976293,0.000976293,0.000976293
26,1336.28,1.43379,0.85169,1.0784,0.52964,0.73532,0.63069,0.39748,1.54991,1.40113,1.40996,0.00095743,0.00095743,0.00095743
